method,calibration_budget_videos,direction,scorer,seed_count,threshold_false_positive_rate,absolute_fpr_error,threshold_recall,false_alarm_events_per_hour,micro_auroc,auprc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,q95_transfer_ratio,q99_transfer_ratio
B0_pooled_q99,,avenue_to_ped2,gaussian,1,1.0,0.99,1.0,143.28358250382377,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,15.644571309423782,10.572823574366835
B0_pooled_q99,,avenue_to_ped2,knn,1,1.0,0.99,1.0,143.28358250382377,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,7.891013039150989,6.500979011854768
B0_pooled_q99,,avenue_to_ped2,prototype,3,1.0,0.9899999999999999,1.0,143.28358250382377,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,8.085816484595282,6.681944074390773
B0_pooled_q99,,ped2_to_avenue,gaussian,1,1.0,0.99,1.0,499.216913744142,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,39.51491482739186,32.42249971771891
B0_pooled_q99,,ped2_to_avenue,knn,1,1.0,0.99,1.0,499.216913744142,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,14.260344413819226,12.657895611825131
B0_pooled_q99,,ped2_to_avenue,prototype,3,1.0,0.9899999999999999,1.0,499.216913744142,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,15.307412712986482,13.22088299070713
B1_source_mean_std,,avenue_to_ped2,gaussian,1,1.0,0.99,1.0,143.28358250382377,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,28.2716736670279,14.794756627636314
B1_source_mean_std,,avenue_to_ped2,knn,1,1.0,0.99,1.0,143.28358250382377,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,15.414753324587728,10.516026246210982
B1_source_mean_std,,avenue_to_ped2,prototype,3,1.0,0.9899999999999999,1.0,143.28358250382377,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,15.402454692203738,10.708519796302658
B1_source_mean_std,,ped2_to_avenue,gaussian,1,1.0,0.99,1.0,499.216913744142,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,104.10821772569375,64.00277372861271
B1_source_mean_std,,ped2_to_avenue,knn,1,1.0,0.99,1.0,499.216913744142,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,48.61605137230444,32.52584965274496
B1_source_mean_std,,ped2_to_avenue,prototype,3,1.0,0.9899999999999999,1.0,499.216913744142,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,44.13535096806758,29.36151103043259
B2_source_median_mad,,avenue_to_ped2,gaussian,1,1.0,0.99,1.0,143.28358250382377,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,22.313800108413247,13.069116876991659
B2_source_median_mad,,avenue_to_ped2,knn,1,1.0,0.99,1.0,143.28358250382377,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,12.532392385130436,9.15369326775202
B2_source_median_mad,,avenue_to_ped2,prototype,3,1.0,0.9899999999999999,1.0,143.28358250382377,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,12.622877090505009,9.339747179925014
B2_source_median_mad,,ped2_to_avenue,gaussian,1,1.0,0.99,1.0,499.216913744142,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,93.03363971840815,59.765198612723665
B2_source_median_mad,,ped2_to_avenue,knn,1,1.0,0.99,1.0,499.216913744142,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,43.93025522636893,30.414000404077125
B2_source_median_mad,,ped2_to_avenue,prototype,3,1.0,0.9899999999999999,1.0,499.216913744142,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,39.876310646655035,27.462468876485456
B3_video_balanced_q99,,avenue_to_ped2,gaussian,1,1.0,0.99,1.0,143.28358250382377,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,15.644571309423782,10.572823574366835
B3_video_balanced_q99,,avenue_to_ped2,knn,1,1.0,0.99,1.0,143.28358250382377,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,7.891013039150989,6.500979011854768
B3_video_balanced_q99,,avenue_to_ped2,prototype,3,1.0,0.9899999999999999,1.0,143.28358250382377,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,8.085816484595282,6.681944074390773
B3_video_balanced_q99,,ped2_to_avenue,gaussian,1,1.0,0.99,1.0,499.216913744142,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,39.51491482739186,32.42249971771891
B3_video_balanced_q99,,ped2_to_avenue,knn,1,1.0,0.99,1.0,499.216913744142,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,14.260344413819226,12.657895611825131
B3_video_balanced_q99,,ped2_to_avenue,prototype,3,1.0,0.9899999999999999,1.0,499.216913744142,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,15.307412712986482,13.22088299070713
B4_conditional_location,,avenue_to_ped2,gaussian,1,1.0,0.99,1.0,143.28358250382377,0.530918105991525,0.8363824309761161,0.016383495145631068,0.0054611650485436895,6.315489334220439,4.637147958731202
B4_conditional_location,,avenue_to_ped2,knn,1,1.0,0.99,1.0,143.28358250382377,0.4911595505015287,0.8149724517943102,0.00424757281553398,0.0018203883495145632,5.7973114528061975,4.174069160025288
