method,calibration_budget_videos,balanced_cell_count,threshold_false_positive_rate_median,threshold_false_positive_rate_min,threshold_false_positive_rate_max,absolute_fpr_error_median,absolute_fpr_error_min,absolute_fpr_error_max,threshold_recall_median,threshold_recall_min,threshold_recall_max,false_alarm_events_per_hour_median,false_alarm_events_per_hour_min,false_alarm_events_per_hour_max,micro_auroc_median,micro_auroc_min,micro_auroc_max,auprc_median,auprc_min,auprc_max,q99_transfer_ratio_median,q99_transfer_ratio_min,q99_transfer_ratio_max
B0_pooled_q99,,6,1.0,1.0,1.0,0.99,0.9899999999999999,0.99,1.0,1.0,1.0,321.2502481239829,143.28358250382377,499.216913744142,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,11.615359593095983,6.500979011854768,32.42249971771891
B1_source_mean_std,,6,1.0,1.0,1.0,0.99,0.9899999999999999,0.99,1.0,1.0,1.0,321.2502481239829,143.28358250382377,499.216913744142,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,22.078133829034453,10.516026246210982,64.00277372861271
B2_source_median_mad,,6,1.0,1.0,1.0,0.99,0.9899999999999999,0.99,1.0,1.0,1.0,321.2502481239829,143.28358250382377,499.216913744142,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,20.26579287673856,9.15369326775202,59.765198612723665
B3_video_balanced_q99,,6,1.0,1.0,1.0,0.99,0.9899999999999999,0.99,1.0,1.0,1.0,321.2502481239829,143.28358250382377,499.216913744142,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,11.615359593095983,6.500979011854768,32.42249971771891
B4_conditional_location,,6,1.0,1.0,1.0,0.99,0.9899999999999999,0.99,1.0,1.0,1.0,321.2502481239829,143.28358250382377,499.216913744142,0.37869009316594254,0.3441644187567558,0.530918105991525,0.4831913703458418,0.18441677503985168,0.8363824309761161,5.558597192002855,3.879411800594264,8.382416533397448
CAL_empirical_cdf,1,6,0.01860144677919394,0.0,0.19337016574585636,0.010032724767481915,0.003812154696132596,0.18337016574585635,0.018453663793103446,0.0038430420711974105,0.5127427184466019,350.43069631451533,0.0,537.3134343893391,0.45570433963620965,0.3565962042647618,0.6657014361958912,0.5158766524991456,0.18974759179123227,0.8983077941712535,1.0572742364129644,0.8380524176732429,1.3549610020626206
CAL_empirical_cdf,2,6,0.002612240211275692,0.0,0.19337016574585636,0.009454587208634745,0.003812154696132596,0.18337016574585635,0.009263230945207007,0.0018857758620689656,0.5127427184466019,45.60946256211559,0.0,537.3134343893391,0.4556632055771539,0.35667932929445756,0.6661682669098321,0.519219400628826,0.1912322006930486,0.8996255259891829,0.9033143974273063,0.8469094713478625,1.1723617924007848
CAL_empirical_cdf,4,6,0.0,0.0,0.0027624309392265192,0.01,0.007237569060773481,0.01,0.004919756444593237,0.0,0.14441747572815533,0.0,0.0,17.91044781297797,0.45567670240624114,0.35668239167344723,0.6929150686584777,0.519891539187301,0.1911993282724238,0.9204282781894332,0.8275825024616779,0.6786678839332627,0.9089087365902946
CAL_mean_std,1,6,0.002302025782688766,0.0,0.03867403314917127,0.01,0.0010497237569060767,0.028674033149171267,0.007483818770226536,0.0,0.2354368932038835,14.92537317748164,0.0,143.28358250382377,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,0.8662727993998325,0.7166994893853436,1.1030910528628872
CAL_mean_std,2,6,0.0050644567219152855,0.0,0.027624309392265192,0.01,0.0012707182320441986,0.01762430939226519,0.016686893203883498,0.0,0.28640776699029125,32.83582099045962,0.0,107.46268687786782,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,0.8936564076154345,0.6887569470729904,1.0927791474925808
CAL_mean_std,4,6,0.0,0.0,0.0027624309392265192,0.01,0.007237569060773481,0.01,0.0042475728155339796,0.0,0.058859223300970875,0.0,0.0,17.91044781297797,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,0.7644475597083604,0.663563331160851,0.889207074548421
CAL_median_mad,1,6,0.0,0.0,0.022099447513812154,0.01,0.0014917127071823206,0.012099447513812154,0.0006067961165048543,0.0,0.20145631067961164,0.0,0.0,89.55223906488986,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,0.7048184999735301,0.5808976302963632,1.0789416689060642
CAL_median_mad,2,6,0.0,0.0,0.0027624309392265192,0.01,0.00723756906077348,0.01,0.00424757281553398,0.0,0.07220873786407767,0.0,0.0,17.91044781297797,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,0.6859033696956488,0.5705313683670604,0.9038016966120493
CAL_median_mad,4,6,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01820388349514563,0.0,0.0,0.0,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,0.6927137323942063,0.4443331539171494,0.7899421507617265
CAL_quantile_q99,1,6,0.018730623492938338,0.0,0.24861878453038674,0.010075783672063382,0.003812154696132596,0.23861878453038673,0.018453663793103446,0.0050566343042071195,0.5588592233009708,350.43069631451533,0.0,662.686569080185,0.45564279785421585,0.3566570922470215,0.6929360215630531,0.519861895205609,0.19098994186068086,0.9209619169884193,11.615359593095983,6.500979011854768,32.42249971771891
